班级,星期,节次,课程,教室,教师,周次
土木3241,周五,7-8节,工程测量与无人机应用,实111,陈小杰,10-12
土木3242,周一,3-4节,道路工程识图与绘图Ⅰ,实523,何桥敏,11-16
土木3242,周一,5-6节,混凝土结构基本原理（路桥） Ⅰ,1-403,李琳,1-2,4-6,9-10
土木3242,周一,5-6节,混凝土结构基本原理（路桥） Ⅰ,实523,李琳,3,8
土木3242,周一,5-8节,智慧工地仿真实训,实523,何桥敏,17
土木3242,周一,7-8节,基础工程(路桥),2-302,赵涛,9-14,16
土木3242,周二,1-2节,工程测量与无人机应用,2-106,陈小杰,7-12
土木3242,周二,1-4节,智慧工地仿真实训,实523,何桥敏,17
土木3242,周二,3-4节,工程测量与无人机应用,实111,陈小杰,李琳,7-10
土木3242,周二,3-4节,工程测量与无人机应用,实111,陈小杰,11-12
土木3242,周二,5-6节,道路勘测设计 Ⅱ,实523,何桥敏,4-8(双)
土木3242,周二,5-6节,低空智能技术与AI工程应用,2-107,陈小杰,11-15
土木3242,周二,5-6节,低空智能技术与AI工程应用,实514,陈小杰,16
土木3242,周二,7-8节,建筑力学Ⅲ,2-207（智慧教室）,朱红玉,1-12
土木3242,周三,1-2节,大学英语 Ⅳ (一）,1-106,程威,1-8
土木3242,周三,1-4节,智慧工地仿真实训,实523,何桥敏,17
土木3242,周三,3-4节,混凝土结构基本原理（路桥） Ⅰ,2-204（智慧教室）,李琳,1-6,8-10
土木3242,周三,3-4节,建筑力学Ⅲ,2-207（智慧教室）,朱红玉,7
土木3242,周三,5-6节,道路勘测设计 Ⅱ,2-303,何桥敏,1-10
土木3242,周三,5-6节,道路工程识图与绘图Ⅰ,实523,何桥敏,11-16
土木3242,周三,7-8节,土力学,2-204（智慧教室）,罗刚,1-4,8
土木3242,周三,7-8节,土力学,实524,罗刚,5-7
土木3242,周四,1-2节,建筑力学Ⅲ,实114,朱红玉,8-9
土木3242,周四,1-2节,低空智能技术与AI工程应用,2-107,陈小杰,11-15
土木3242,周四,1-2节,低空智能技术与AI工程应用,实514,陈小杰,16
土木3242,周四,1-4节,混凝土结构基本原理（路桥） Ⅰ,实112,李琳,7
土木3242,周四,3-4节,建筑力学Ⅲ,2-207（智慧教室）,朱红玉,1-6,10-12
土木3242,周四,5-6节,基础工程(路桥),2-302,赵涛,9-16
土木3242,周四,5-8节,智慧工地仿真实训,实523,何桥敏,17
土木3242,周五,1-2节,道路勘测设计 Ⅱ,2-204（智慧教室）,何桥敏,1-3,5-9(单),10
